PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
60,1,1,Passenger 60,male,,0,0,TKT00060,71.4955,,S
61,0,3,Passenger 61,male,,0,0,TKT00061,8.1212,,C
62,1,3,Passenger 62,male,29.44411204714231,1,0,TKT00062,7.7229,,Q
63,0,3,Passenger 63,male,,0,0,TKT00063,19.0406,,S
64,1,3,Passenger 64,female,25.73802532000666,1,0,TKT00064,6.0791,,Q
65,1,3,Passenger 65,female,,0,0,TKT00065,19.3737,,C
66,1,3,Passenger 66,female,31.292956535562414,1,1,TKT00066,11.1403,,C
67,0,3,Passenger 67,male,3.1071770374674585,1,0,TKT00067,11.4935,,C
68,0,2,Passenger 68,male,36.678491781170415,3,1,TKT00068,11.5911,,S
69,1,1,Passenger 69,male,29.992116640278578,1,0,TKT00069,65.5277,,C
70,0,2,Passenger 70,male,30.555709372365865,1,0,TKT00070,32.9499,,S
71,0,1,Passenger 71,male,43.4502803063225,1,0,TKT00071,38.3637,,S
72,0,2,Passenger 72,male,2.660582579324526,0,0,TKT00072,31.2889,,S
73,0,3,Passenger 73,male,2.3663258219745096,0,1,TKT00073,12.4904,,
74,1,1,Passenger 74,female,33.83325383452927,0,0,TKT00074,52.3947,,Q
75,1,1,Passenger 75,male,29.90036402820078,0,0,TKT00075,102.8322,,S
76,1,2,Passenger 76,female,32.38247720468705,0,0,TKT00076,9.28,,Q
77,0,2,Passenger 77,male,23.53022094758576,1,0,TKT00077,29.2208,,S
78,0,3,Passenger 78,male,39.30095143935904,0,0,TKT00078,24.8698,,S
79,0,3,Passenger 79,male,43.056943801875676,0,1,TKT00079,22.94,,S
80,0,3,Passenger 80,male,36.77575211532138,1,0,TKT00080,14.3009,,C
81,0,3,Passenger 81,male,26.348401582335836,0,0,TKT00081,10.4767,,S
82,0,2,Passenger 82,male,0.5,0,0,TKT00082,18.7795,,S
83,1,3,Passenger 83,female,40.769306912519795,0,0,TKT00083,10.4708,,S
84,0,1,Passenger 84,male,,0,1,TKT00084,89.4079,,S
85,0,1,Passenger 85,male,39.02381776777572,0,1,TKT00085,48.6784,,S
86,0,1,Passenger 86,male,,0,1,TKT00086,98.429,,C
87,0,3,Passenger 87,male,39.43312151134861,1,0,TKT00087,31.3379,,S
88,0,3,Passenger 88,male,,1,1,TKT00088,11.6704,,C
89,0,1,Passenger 89,male,51.823427469187195,3,0,TKT00089,38.2261,,S
90,1,3,Passenger 90,female,17.73446106080859,0,1,TKT00090,6.552,,Q
91,1,1,Passenger 91,female,26.829635816382062,1,0,TKT00091,99.2806,,S
92,1,3,Passenger 92,female,40.46180871600837,0,1,TKT00092,11.6817,,S
93,1,2,Passenger 93,male,30.80374100013421,0,0,TKT00093,37.0938,,S
94,0,2,Passenger 94,male,14.357413571282153,0,3,TKT00094,19.663,,S
95,1,2,Passenger 95,female,,1,1,TKT00095,36.3305,,S
96,0,3,Passenger 96,male,38.10126287341233,1,0,TKT00096,11.1749,,C
97,0,2,Passenger 97,male,31.23148054863403,0,0,TKT00097,17.9798,,S
98,1,1,Passenger 98,male,33.07418898051922,0,2,TKT00098,58.4426,,S
99,1,1,Passenger 99,female,26.37811737639978,0,0,TKT00099,40.8465,,S
100,0,3,Passenger 100,male,50.69590510002483,1,0,TKT00100,29.3743,,Q
101,1,3,Passenger 101,female,17.390309428022526,0,0,TKT00101,11.4907,,S
102,1,3,Passenger 102,female,21.777509321307097,0,0,TKT00102,16.0376,,S
103,0,2,Passenger 103,male,30.153797189385358,0,0,TKT00103,19.6344,,S
104,1,3,Passenger 104,female,42.305356387812495,0,0,TKT00104,7.4748,,S
105,1,3,Passenger 105,male,9.036775618676486,0,1,TKT00105,10.8012,,S
106,1,3,Passenger 106,male,,0,1,TKT00106,19.6965,,S
107,0,2,Passenger 107,male,1.4718008917139507,1,0,TKT00107,19.7775,,S
108,0,2,Passenger 108,female,30.457733153545792,0,0,TKT00108,16.897,,S
109,0,1,Passenger 109,male,14.343718559108385,0,0,TKT00109,75.0725,,S
110,0,3,Passenger 110,male,24.616298459749167,1,0,TKT00110,15.0213,,S
111,0,3,Passenger 111,male,39.25929465848391,2,0,TKT00111,25.1332,,Q
112,0,1,Passenger 112,male,21.018401909040147,0,0,TKT00112,82.0791,,S
113,0,2,Passenger 113,male,33.237948318407106,1,1,TKT00113,33.4039,,S
114,0,3,Passenger 114,male,25.809269291475893,0,0,TKT00114,16.5864,,S
115,0,1,Passenger 115,male,39.40960041135011,0,0,TKT00115,41.664,,S
116,1,3,Passenger 116,female,36.65179294287212,0,0,TKT00116,7.7788,,C
117,0,3,Passenger 117,male,20.312928253555462,0,0,TKT00117,7.3681,,S
118,1,3,Passenger 118,female,27.638875452393663,0,0,TKT00118,6.5893,,S
119,0,2,Passenger 119,male,44.61240756808692,0,0,TKT00119,35.7601,,S
120,1,3,Passenger 120,female,35.50727618355736,0,0,TKT00120,13.6731,,S
121,0,3,Passenger 121,male,10.44253119148416,0,1,TKT00121,12.437,,Q
122,0,3,Passenger 122,male,39.17865285639935,1,0,TKT00122,3.7366,,S
123,1,1,Passenger 123,female,14.815451285892665,1,0,TKT00123,176.5245,,
124,0,2,Passenger 124,male,49.77518297945409,0,0,TKT00124,16.7175,,C
125,0,1,Passenger 125,male,44.33738375777435,0,0,TKT00125,176.2337,,C
126,1,3,Passenger 126,female,,0,1,TKT00126,6.251,,S
127,1,2,Passenger 127,female,32.201259808106705,0,0,TKT00127,17.3448,,S
128,0,1,Passenger 128,male,27.07354841561612,0,0,TKT00128,25.977,,S
129,0,1,Passenger 129,male,39.49933531960039,0,0,TKT00129,82.389,,C
130,1,3,Passenger 130,female,,0,0,TKT00130,7.3107,,S
131,1,1,Passenger 131,female,33.29797818895852,0,0,TKT00131,43.1916,,S
132,1,3,Passenger 132,female,,0,0,TKT00132,6.4706,,C
133,0,3,Passenger 133,male,22.134708390641745,0,3,TKT00133,17.0256,,S
134,1,2,Passenger 134,female,21.373301640130276,0,1,TKT00134,34.4337,,S
135,1,3,Passenger 135,male,13.278883269857573,0,0,TKT00135,27.1214,,S
136,1,1,Passenger 136,female,15.09738155423359,0,1,TKT00136,51.4149,,C
137,0,3,Passenger 137,male,4.402465639818967,0,1,TKT00137,13.2418,,S
138,0,3,Passenger 138,female,40.21760304621741,0,0,TKT00138,6.7174,,
139,0,3,Passenger 139,male,55.32480358915879,1,1,TKT00139,10.3206,,S
140,1,1,Passenger 140,male,49.95460520858428,0,2,TKT00140,55.4241,,C
141,1,3,Passenger 141,female,7.2348171592287684,0,0,TKT00141,14.7894,,C
142,0,3,Passenger 142,male,40.1479654017868,1,0,TKT00142,18.9645,,S
143,1,3,Passenger 143,female,49.909488898929794,1,0,TKT00143,18.7442,,S
144,0,3,Passenger 144,male,23.6046602696587,0,0,TKT00144,8.2124,,Q
145,0,3,Passenger 145,male,31.420264029100693,1,1,TKT00145,18.8068,,C
146,1,2,Passenger 146,male,1.8894972887346135,1,1,TKT00146,24.5089,,S
147,1,2,Passenger 147,male,33.734306351672984,0,0,TKT00147,21.6025,,S
148,0,3,Passenger 148,male,15.110163787913956,1,0,TKT00148,8.724,,C
149,0,2,Passenger 149,male,32.794890250761206,1,1,TKT00149,19.4317,,Q
150,1,1,Passenger 150,male,8.143159089355674,2,0,TKT00150,153.3214,,S
151,1,3,Passenger 151,female,37.600015142686345,1,0,TKT00151,13.7803,,S
152,1,3,Passenger 152,female,44.34317745597366,1,1,TKT00152,12.9809,,S
153,1,1,Passenger 153,female,19.035481935987654,0,0,TKT00153,62.208,,C
154,0,3,Passenger 154,male,14.083083860253918,1,1,TKT00154,36.0749,,S
155,1,1,Passenger 155,male,0.5,0,0,TKT00155,125.933,,S
156,0,3,Passenger 156,male,26.270210522947522,0,0,TKT00156,8.6749,,S
157,1,2,Passenger 157,female,,1,0,TKT00157,22.1038,,C
158,1,3,Passenger 158,female,,2,0,TKT00158,10.8971,,C
159,0,3,Passenger 159,male,36.3422625883704,0,1,TKT00159,12.8141,,
160,0,3,Passenger 160,female,,1,0,TKT00160,8.7526,,S
161,0,1,Passenger 161,male,14.939696578966746,0,0,TKT00161,85.2819,,C
162,0,3,Passenger 162,male,22.235986321033742,1,0,TKT00162,23.0657,,C
163,0,1,Passenger 163,male,44.99826354501462,0,0,TKT00163,38.759,,S
164,0,1,Passenger 164,male,38.44111721257311,1,1,TKT00164,42.1329,,S
165,1,3,Passenger 165,female,28.179635139021144,0,1,TKT00165,9.6551,,Q
166,1,2,Passenger 166,female,38.66747025850793,0,0,TKT00166,20.5388,,S
167,0,3,Passenger 167,male,13.747232610585655,1,0,TKT00167,29.4949,,S
168,0,3,Passenger 168,male,,0,0,TKT00168,18.8342,,S
169,1,2,Passenger 169,female,32.06251262681059,0,0,TKT00169,38.2377,,S
170,1,3,Passenger 170,female,23.422288881017824,0,0,TKT00170,10.6541,,S
171,0,2,Passenger 171,male,36.09641670340385,0,1,TKT00171,21.9778,,C
172,0,3,Passenger 172,male,19.073931634977683,0,0,TKT00172,6.2441,,S
173,0,2,Passenger 173,male,37.137489908865646,1,0,TKT00173,35.54,,C
174,0,3,Passenger 174,male,,1,0,TKT00174,14.9675,,S
175,1,1,Passenger 175,female,0.5,0,1,TKT00175,124.8601,,S
176,0,1,Passenger 176,male,,0,1,TKT00176,63.6642,,C
177,1,2,Passenger 177,female,0.5,0,0,TKT00177,23.4548,,S
178,1,3,Passenger 178,male,21.375313642214245,3,0,TKT00178,12.9543,,S
179,0,3,Passenger 179,male,,1,0,TKT00179,17.9262,,C
180,0,3,Passenger 180,female,25.55798584646583,1,1,TKT00180,6.1923,,S
181,0,3,Passenger 181,male,,0,0,TKT00181,16.7121,,S
182,0,3,Passenger 182,male,14.687681135966612,0,1,TKT00182,11.8898,,S
183,1,3,Passenger 183,female,,0,0,TKT00183,7.4523,,Q
184,1,2,Passenger 184,female,3.098936572319065,0,0,TKT00184,9.7845,,S
185,0,3,Passenger 185,male,45.80587541346824,3,1,TKT00185,11.2852,,S
186,1,3,Passenger 186,male,,0,1,TKT00186,23.0203,,Q
187,0,2,Passenger 187,male,13.306465373805931,0,0,TKT00187,53.1163,,S
188,0,1,Passenger 188,male,,0,1,TKT00188,82.1391,,S
189,0,3,Passenger 189,male,15.758859224577023,0,0,TKT00189,29.0149,,S
190,0,2,Passenger 190,male,42.1271528120194,0,0,TKT00190,24.5216,,S
191,1,3,Passenger 191,female,40.25398933667974,0,0,TKT00191,18.4284,,S
192,1,2,Passenger 192,female,5.931744125735346,0,1,TKT00192,20.4059,,S
193,1,1,Passenger 193,female,,0,0,TKT00193,55.5301,,S
194,1,3,Passenger 194,female,17.91540072718012,1,0,TKT00194,8.8465,,S
195,1,1,Passenger 195,female,48.10913955843118,1,1,TKT00195,27.6951,,S
196,1,1,Passenger 196,female,11.098612346230105,1,2,TKT00196,124.9217,,S
197,0,3,Passenger 197,female,,1,1,TKT00197,8.9905,,S
198,0,3,Passenger 198,male,29.533873646762874,1,0,TKT00198,8.3667,,S
199,1,1,Passenger 199,male,13.732918310678773,0,0,TKT00199,41.1617,,C
200,0,2,Passenger 200,male,20.51816142387011,0,1,TKT00200,22.8035,,S
201,0,3,Passenger 201,male,18.77733622924169,0,2,TKT00201,26.5354,,S
202,0,3,Passenger 202,male,12.155342371782915,0,2,TKT00202,30.7874,,S
203,0,3,Passenger 203,male,31.32757603622526,0,0,TKT00203,5.6832,,C
204,0,1,Passenger 204,male,12.809182290314194,0,0,TKT00204,59.6798,,S
205,1,1,Passenger 205,male,0.5,0,1,TKT00205,43.9492,,
206,0,1,Passenger 206,male,,0,1,TKT00206,109.2072,,S
207,1,1,Passenger 207,female,4.760013250149644,1,0,TKT00207,79.6357,,S
208,1,3,Passenger 208,female,19.469747847054713,1,0,TKT00208,9.011,,C
209,0,1,Passenger 209,male,17.272559559553017,0,0,TKT00209,72.3238,,S
210,0,3,Passenger 210,male,17.8029749916386,0,1,TKT00210,9.6801,,S
211,0,3,Passenger 211,male,58.013483422262155,0,1,TKT00211,24.8118,,Q
212,0,3,Passenger 212,female,30.789761940373992,1,1,TKT00212,15.3488,,S
213,1,1,Passenger 213,female,33.43519412593465,1,0,TKT00213,94.6244,,S
214,0,3,Passenger 214,male,5.130423851207876,1,0,TKT00214,3.6139,,S
215,1,3,Passenger 215,female,20.844516129083093,0,0,TKT00215,11.6447,,S
216,0,3,Passenger 216,male,33.014236819181164,1,0,TKT00216,30.6414,,C
217,0,1,Passenger 217,male,15.65659521921791,1,1,TKT00217,127.1355,,S
218,1,1,Passenger 218,female,42.712879809251795,0,0,TKT00218,30.4871,,Q
219,0,3,Passenger 219,male,13.162247797385579,0,0,TKT00219,10.4214,,S
220,0,2,Passenger 220,male,25.99087409788754,1,0,TKT00220,14.5587,,Q
221,0,2,Passenger 221,male,21.795277040342178,2,1,TKT00221,53.9939,,C
222,0,3,Passenger 222,male,32.30048923134682,0,2,TKT00222,13.3943,,Q
223,1,3,Passenger 223,female,21.033138994024036,2,0,TKT00223,8.4943,,S
224,1,3,Passenger 224,female,26.207489221006878,0,0,TKT00224,12.1859,,S
225,0,2,Passenger 225,male,26.6941787151082,0,0,TKT00225,7.7335,,S
226,0,3,Passenger 226,male,19.718571396521785,0,0,TKT00226,7.3645,,S
227,1,1,Passenger 227,female,36.79131415895958,1,1,TKT00227,71.1574,,S
228,1,3,Passenger 228,male,33.337437247723955,0,0,TKT00228,17.5571,,C
229,0,3,Passenger 229,female,,0,1,TKT00229,5.0094,,S
230,1,1,Passenger 230,female,23.973583331532588,0,1,TKT00230,58.9668,,C
231,0,1,Passenger 231,male,41.15161642727996,0,0,TKT00231,110.2614,,S
232,1,2,Passenger 232,female,26.69832058660146,1,2,TKT00232,13.01,,Q
233,0,3,Passenger 233,male,25.70623797043688,0,0,TKT00233,13.3037,,S
234,0,3,Passenger 234,male,31.465660418433764,1,1,TKT00234,12.3616,,S
235,0,3,Passenger 235,male,53.75221356159191,0,0,TKT00235,25.9554,,C
236,0,3,Passenger 236,male,11.235013087703145,0,0,TKT00236,10.8194,,C
237,1,3,Passenger 237,female,40.77799650277497,2,0,TKT00237,11.1082,,C
238,1,3,Passenger 238,female,3.4956037426665283,0,0,TKT00238,17.6306,,Q
239,1,1,Passenger 239,female,33.041824215200734,0,0,TKT00239,38.5378,,S
240,1,1,Passenger 240,female,52.05115958652223,1,1,TKT00240,63.3768,,C
241,0,3,Passenger 241,male,,2,1,TKT00241,9.775,,S
242,0,3,Passenger 242,male,32.3887510995571,2,1,TKT00242,11.2728,,S
243,1,1,Passenger 243,female,22.153707436756942,1,0,TKT00243,102.5426,,S
244,1,3,Passenger 244,female,30.43466080683976,0,1,TKT00244,15.3986,,S
245,0,3,Passenger 245,male,26.471120584353013,1,0,TKT00245,8.5677,,S
246,0,3,Passenger 246,male,18.996327488961025,1,0,TKT00246,12.7614,,C
247,0,3,Passenger 247,male,25.941741383351822,1,0,TKT00247,23.4672,,S
248,0,2,Passenger 248,male,32.777336248770155,1,1,TKT00248,17.1975,,Q
249,1,2,Passenger 249,female,19.258961040571037,0,0,TKT00249,26.6876,,S
250,0,2,Passenger 250,male,18.712054510414422,0,0,TKT00250,22.9187,,S
251,0,3,Passenger 251,female,10.95659187370956,0,0,TKT00251,11.6646,,S
252,1,3,Passenger 252,female,35.47015036524454,0,2,TKT00252,5.761,,S
253,0,3,Passenger 253,female,37.634525667538846,0,1,TKT00253,22.6407,,S
254,1,2,Passenger 254,male,33.243246219311246,1,1,TKT00254,17.6444,,S
255,0,1,Passenger 255,male,43.51238689820132,0,0,TKT00255,111.0774,,S
256,1,3,Passenger 256,female,31.230146919130185,0,0,TKT00256,9.0729,,S
257,1,3,Passenger 257,female,35.4881531231206,0,0,TKT00257,9.056,,C
258,1,1,Passenger 258,male,34.25372395892588,1,1,TKT00258,120.8319,,S
259,1,1,Passenger 259,female,28.71843972814509,0,1,TKT00259,109.4802,,C
260,0,3,Passenger 260,male,22.56849440618494,2,0,TKT00260,13.1814,,C
261,1,1,Passenger 261,female,60.99813662108676,2,1,TKT00261,98.5943,,S
262,0,3,Passenger 262,male,23.672686282050883,1,0,TKT00262,10.5387,,S
263,0,2,Passenger 263,male,20.677712044313893,0,0,TKT00263,24.906,,S
264,0,1,Passenger 264,male,36.0761375283015,0,2,TKT00264,51.9751,,S
265,0,3,Passenger 265,male,33.52596181413007,0,0,TKT00265,18.0246,,S
266,1,1,Passenger 266,male,,1,0,TKT00266,51.2369,,Q
267,1,2,Passenger 267,male,45.71749556389234,1,0,TKT00267,48.7739,,S
268,1,1,Passenger 268,male,28.681275945088334,0,0,TKT00268,60.7259,,S
269,1,1,Passenger 269,female,14.446964666979913,0,0,TKT00269,70.649,,S
270,0,1,Passenger 270,male,46.64297760095424,0,0,TKT00270,98.4868,,S
271,1,1,Passenger 271,female,38.75945800234616,4,0,TKT00271,70.7558,,S
272,1,1,Passenger 272,female,12.2964121127292,0,0,TKT00272,61.2177,,S
273,0,1,Passenger 273,male,54.88055976360814,0,0,TKT00273,69.0606,,Q
274,0,3,Passenger 274,male,39.2231631571267,0,0,TKT00274,17.9417,,S
275,1,3,Passenger 275,female,,0,1,TKT00275,8.9051,,S
276,1,2,Passenger 276,female,52.26306327870491,0,1,TKT00276,23.6194,,S
277,0,2,Passenger 277,male,32.230168973614965,0,0,TKT00277,25.116,,S
278,0,3,Passenger 278,female,29.606836948543553,1,0,TKT00278,17.7072,,C
279,0,3,Passenger 279,male,20.75579837569215,2,0,TKT00279,11.4728,,Q
280,0,3,Passenger 280,male,38.1459061502991,1,0,TKT00280,27.0758,,C
281,1,1,Passenger 281,female,36.67244154253572,1,2,TKT00281,65.2387,,S
282,0,1,Passenger 282,male,30.205521958455957,1,0,TKT00282,62.8995,,S
283,1,1,Passenger 283,female,18.94019104585356,0,1,TKT00283,64.8146,,C
284,0,2,Passenger 284,male,,1,0,TKT00284,13.8237,,S
285,0,3,Passenger 285,female,29.022816999330068,0,1,TKT00285,7.5261,,S
286,0,2,Passenger 286,male,11.331359537721184,1,0,TKT00286,19.6893,,S
287,1,1,Passenger 287,male,9.394627081461401,1,0,TKT00287,116.7014,,S
288,0,2,Passenger 288,male,37.91214730333677,0,0,TKT00288,24.6301,,C
289,0,3,Passenger 289,male,0.5,0,0,TKT00289,9.6486,,S
290,1,1,Passenger 290,female,32.87574737745764,0,1,TKT00290,121.5634,,Q
291,0,3,Passenger 291,male,23.30683719144646,0,1,TKT00291,24.1175,,S
292,0,1,Passenger 292,male,,0,1,TKT00292,123.1518,,S
293,0,3,Passenger 293,male,23.09144507184574,0,0,TKT00293,8.1745,,S
294,0,1,Passenger 294,male,39.232778999526545,0,0,TKT00294,56.0158,,S
295,1,3,Passenger 295,female,24.443206222670916,0,0,TKT00295,27.1422,,S
296,0,3,Passenger 296,male,31.59247414880601,0,1,TKT00296,13.3754,,S
297,1,3,Passenger 297,female,40.31571143288072,2,1,TKT00297,10.6384,,S
298,0,3,Passenger 298,male,23.524219971455878,1,0,TKT00298,16.5794,,C
299,0,3,Passenger 299,female,43.951768382977654,0,0,TKT00299,18.8817,,S
300,1,3,Passenger 300,male,16.088229720509236,1,1,TKT00300,9.279,,S
301,0,3,Passenger 301,male,34.12429979581731,1,0,TKT00301,13.2455,,S
302,1,1,Passenger 302,female,42.91695611902994,1,1,TKT00302,106.2131,,C
303,1,3,Passenger 303,female,39.24052488506469,0,0,TKT00303,7.1191,,S
304,1,3,Passenger 304,female,56.83022827429575,0,0,TKT00304,12.0669,,S
305,0,3,Passenger 305,male,19.311849557650753,1,0,TKT00305,7.2676,,S
306,1,3,Passenger 306,male,10.69191048111977,1,0,TKT00306,7.7083,,S
307,1,2,Passenger 307,female,,1,0,TKT00307,19.404,,S
308,0,3,Passenger 308,male,39.246195931678116,1,0,TKT00308,14.8739,,S
309,0,2,Passenger 309,female,36.9709210797713,0,0,TKT00309,21.6275,,Q
310,0,1,Passenger 310,male,31.431593235063822,0,0,TKT00310,52.2849,,S
311,0,3,Passenger 311,male,14.278601312500182,0,0,TKT00311,12.2816,,S
312,1,2,Passenger 312,female,40.73614210660685,0,0,TKT00312,14.9206,,S
313,1,1,Passenger 313,female,12.854133112892434,0,0,TKT00313,84.8985,,S
314,0,2,Passenger 314,male,46.22529415327659,0,0,TKT00314,41.5958,,S
315,0,2,Passenger 315,male,70.00413792395811,0,0,TKT00315,24.1246,,S
316,0,2,Passenger 316,male,35.1303160520017,0,0,TKT00316,22.8211,,S
317,0,2,Passenger 317,male,,1,2,TKT00317,29.5748,,S
318,0,3,Passenger 318,male,23.09996323546217,2,0,TKT00318,4.8167,,S
319,0,2,Passenger 319,male,,1,0,TKT00319,31.8311,,Q
320,1,3,Passenger 320,female,21.561928917576886,1,1,TKT00320,48.4608,,S
321,1,3,Passenger 321,female,14.699466624617509,0,0,TKT00321,11.3555,,S
322,0,3,Passenger 322,male,9.74193593018978,0,0,TKT00322,11.3737,,Q
323,0,2,Passenger 323,male,54.113039187939094,0,0,TKT00323,34.9353,,C
324,0,3,Passenger 324,male,33.82007525236082,2,0,TKT00324,25.1613,,S
325,0,3,Passenger 325,male,35.315626128595774,2,2,TKT00325,18.6089,,C
326,0,3,Passenger 326,male,25.673686887252508,1,0,TKT00326,4.5489,,S
327,0,3,Passenger 327,male,,0,0,TKT00327,15.4628,,S
328,1,3,Passenger 328,female,43.50370955135067,0,0,TKT00328,38.1786,,C
329,0,3,Passenger 329,male,29.547280338266983,1,0,TKT00329,15.8791,,C
330,0,2,Passenger 330,male,37.42971513234626,0,0,TKT00330,14.8694,,S
331,0,3,Passenger 331,male,27.25593983016978,0,2,TKT00331,13.6226,,S
332,1,1,Passenger 332,female,,0,0,TKT00332,39.3378,,S
333,0,3,Passenger 333,male,10.303201681573931,0,0,TKT00333,20.8983,,S
334,0,3,Passenger 334,male,2.3115131268602056,2,0,TKT00334,7.805,,Q
335,1,1,Passenger 335,female,26.338133385070375,0,0,TKT00335,72.3782,,S
336,0,3,Passenger 336,male,30.790953687905258,0,0,TKT00336,8.1572,,S
337,0,1,Passenger 337,male,,0,0,TKT00337,54.7399,,S
338,1,3,Passenger 338,female,,0,1,TKT00338,23.422,,S
339,0,1,Passenger 339,male,,1,0,TKT00339,73.336,,S
340,0,3,Passenger 340,male,0.5,0,0,TKT00340,9.3303,,Q
341,0,1,Passenger 341,male,,0,1,TKT00341,41.8103,,S
342,0,3,Passenger 342,male,35.701694512296555,0,0,TKT00342,5.1688,,S
343,1,3,Passenger 343,female,,0,0,TKT00343,6.8335,,S
344,0,3,Passenger 344,male,13.84855117040335,3,0,TKT00344,12.6201,,S
345,0,3,Passenger 345,male,32.21827270699629,1,1,TKT00345,18.6531,,S
346,0,3,Passenger 346,male,44.31370115504661,0,1,TKT00346,9.3255,,S
347,0,3,Passenger 347,male,40.87902142587258,0,0,TKT00347,24.3286,,S
348,0,2,Passenger 348,male,28.665998981804915,0,0,TKT00348,18.1016,,S
